name,indID,units
Number of People of Concern by Country of Origin,CHD.B.PRO.0001.T6,People
Number of People of Concern by Country of Residence,CHD.B.PRO.0002.T6,People
Internally displaced by Country of Residence,CHD.B.PRO.0003.T6,People
Internally displaced by Country of Origin,CHD.B.PRO.0004.T6,People
Returned IDPs by Country of Origin,CHD.B.PRO.0005.T6,People
Returned IDPs by Country of Residence,CHD.B.PRO.0006.T6,People
Others of concern by Country of Origin,CHD.B.PRO.0007.T6,People
Others of concern by Country of Residence,CHD.B.PRO.0008.T6,People
Returned refugees by Country of Origin,CHD.B.PRO.0009.T6,People
Returned refugees by Country of Residence,CHD.B.PRO.0010.T6,People
Asylum seekers by Country of Origin,CHD.B.PRO.0011.T6,People
Asylum seekers by Country of Residence,CHD.B.PRO.0012.T6,People
Refugees by Country of Residence,CHD.B.PRO.0013.T6,People
Refugees by Country of Origin,CHD.B.PRO.0014.T6,People
Stateless by Country of Residence,CHD.B.PRO.0015.T6,People
Stateless by Country of Origin,CHD.B.PRO.0016.T6,People
