period,value,region,indID,dsID,source,is_number
2000,4386280,AFG,CHD.O.PRO.0001.T4,unhcr,http://popstats.unhcr.org,1
2001,5040559,AFG,CHD.O.PRO.0001.T4,unhcr,http://popstats.unhcr.org,1
2002,3955479,AFG,CHD.O.PRO.0001.T4,unhcr,http://popstats.unhcr.org,1
2003,2428694,AFG,CHD.O.PRO.0001.T4,unhcr,http://popstats.unhcr.org,1
2004,2618398,AFG,CHD.O.PRO.0001.T4,unhcr,http://popstats.unhcr.org,1
2005,2339733,AFG,CHD.O.PRO.0001.T4,unhcr,http://popstats.unhcr.org,1
2006,2262621,AFG,CHD.O.PRO.0001.T4,unhcr,http://popstats.unhcr.org,1
2007,2088140,AFG,CHD.O.PRO.0001.T4,unhcr,http://popstats.unhcr.org,1
2008,3095531,AFG,CHD.O.PRO.0001.T4,unhcr,http://popstats.unhcr.org,1
2009,3223369,AFG,CHD.O.PRO.0001.T4,unhcr,http://popstats.unhcr.org,1
2010,4286425,AFG,CHD.O.PRO.0001.T4,unhcr,http://popstats.unhcr.org,1
2011,4181216,AFG,CHD.O.PRO.0001.T4,unhcr,http://popstats.unhcr.org,1
2012,4023752,AFG,CHD.O.PRO.0001.T4,unhcr,http://popstats.unhcr.org,1
2000,628146,BDI,CHD.O.PRO.0001.T4,unhcr,http://popstats.unhcr.org,1
2001,619963,BDI,CHD.O.PRO.0001.T4,unhcr,http://popstats.unhcr.org,1
2002,682455,BDI,CHD.O.PRO.0001.T4,unhcr,http://popstats.unhcr.org,1
2003,542698,BDI,CHD.O.PRO.0001.T4,unhcr,http://popstats.unhcr.org,1
2004,505693,BDI,CHD.O.PRO.0001.T4,unhcr,http://popstats.unhcr.org,1
2005,459962,BDI,CHD.O.PRO.0001.T4,unhcr,http://popstats.unhcr.org,1
2006,417020,BDI,CHD.O.PRO.0001.T4,unhcr,http://popstats.unhcr.org,1
2007,383164,BDI,CHD.O.PRO.0001.T4,unhcr,http://popstats.unhcr.org,1
2008,388378,BDI,CHD.O.PRO.0001.T4,unhcr,http://popstats.unhcr.org,1
2009,199159,BDI,CHD.O.PRO.0001.T4,unhcr,http://popstats.unhcr.org,1
2010,249854,BDI,CHD.O.PRO.0001.T4,unhcr,http://popstats.unhcr.org,1
2011,352580,BDI,CHD.O.PRO.0001.T4,unhcr,http://popstats.unhcr.org,1
2012,328052,BDI,CHD.O.PRO.0001.T4,unhcr,http://popstats.unhcr.org,1
2000,227,BEN,CHD.O.PRO.0001.T4,unhcr,http://popstats.unhcr.org,1
2001,266,BEN,CHD.O.PRO.0001.T4,unhcr,http://popstats.unhcr.org,1
2002,492,BEN,CHD.O.PRO.0001.T4,unhcr,http://popstats.unhcr.org,1
2003,768,BEN,CHD.O.PRO.0001.T4,unhcr,http://popstats.unhcr.org,1
2004,800,BEN,CHD.O.PRO.0001.T4,unhcr,http://popstats.unhcr.org,1
2005,760,BEN,CHD.O.PRO.0001.T4,unhcr,http://popstats.unhcr.org,1
2006,2635,BEN,CHD.O.PRO.0001.T4,unhcr,http://popstats.unhcr.org,1
2007,2538,BEN,CHD.O.PRO.0001.T4,unhcr,http://popstats.unhcr.org,1
2008,1076,BEN,CHD.O.PRO.0001.T4,unhcr,http://popstats.unhcr.org,1
2009,815,BEN,CHD.O.PRO.0001.T4,unhcr,http://popstats.unhcr.org,1
2010,724,BEN,CHD.O.PRO.0001.T4,unhcr,http://popstats.unhcr.org,1
2011,837,BEN,CHD.O.PRO.0001.T4,unhcr,http://popstats.unhcr.org,1
2012,992,BEN,CHD.O.PRO.0001.T4,unhcr,http://popstats.unhcr.org,1
2000,380,BFA,CHD.O.PRO.0001.T4,unhcr,http://popstats.unhcr.org,1
2001,345,BFA,CHD.O.PRO.0001.T4,unhcr,http://popstats.unhcr.org,1
2002,1157,BFA,CHD.O.PRO.0001.T4,unhcr,http://popstats.unhcr.org,1
2003,1026,BFA,CHD.O.PRO.0001.T4,unhcr,http://popstats.unhcr.org,1
